,ipc_var,defl,emae,emae_sa,supermercados,itcrm,empleo,ripte
2010-01,1.0,0.002916030312654101,121.505678529232,131.720008468575,,141.43127423592108,,
2010-02,1.2,0.0029510226764059497,119.82280209204,133.123264113797,,135.74724111796132,,
2010-03,1.1,0.002983483925846415,136.895501620461,133.97038663481,,133.7412776868304,,
2010-04,0.8,0.0030073517972531868,145.774131493018,136.865318244278,,132.61786781597655,,
2010-05,0.7,0.003028403259833959,158.110631530439,139.191291045935,,128.20502962332748,,
2010-06,0.7,0.003049602082652796,149.861552008054,140.568712152045,,126.60627747499066,,
2010-07,0.8,0.0030739988993140183,139.505686628727,139.396913783302,,127.96275138767211,,
2010-08,0.7,0.003095516891609216,137.245980687156,140.002332180897,,127.72426650910573,,
2010-09,0.7,0.00311718550985048,136.696426721623,139.385480305902,,128.70569698247132,,
2010-10,0.8,0.0031421229939292837,135.138844506923,140.188638502719,,129.49340864146743,,
2010-11,0.7,0.0031641178548867882,139.598823283722,142.241573572224,,126.01228875825738,,
2010-12,0.8,0.003189430797725883,138.477649512717,141.9797901459,,124.50316957888232,,
2011-01,0.7,0.0032117568133099637,133.076919718552,145.851146917627,,124.6128743634279,,
2011-02,0.7,0.003234239111003133,129.509886842622,143.853319291413,,126.45368647994815,,
2011-03,0.8,0.0032601130238911584,147.001839095024,144.861505636531,,126.52727769508664,,
2011-04,0.8,0.0032861939280822874,151.035823039618,144.92864694726,,128.22840412310197,,
2011-05,0.7,0.0033091972855788633,166.178342081017,147.186329306584,,125.84597679313256,,
2011-06,0.7,0.0033323616665779147,156.693658512255,146.802690876266,,125.29492273661208,,
2011-07,0.8,0.0033590205599105384,146.378088280468,147.156733024103,,125.5730850016327,,
2011-08,0.8,0.0033858927243898226,146.398505384719,146.95911473406,,123.52060133047085,,
2011-09,0.8,0.003412979866184941,147.170906821271,148.265166664086,,116.65557747668164,,
2011-10,0.6,0.0034334577453820504,145.050002427799,147.291142182554,,114.09466059821933,,
2011-11,0.6,0.003454058491854343,146.361645124166,147.215886221027,,113.08228879978407,,
2011-12,0.8,0.003481690959789178,143.361657853743,147.845593948209,,110.41459248656392,,
2012-01,0.9,0.0035130261784272806,136.194081293613,147.733344845544,,111.10280371543463,10898.532000000001,
2012-02,0.7,0.0035376173616762712,132.360525940741,144.719606011736,,113.81070716472175,10954.455,
2012-03,0.9,0.0035694559179313577,147.441016244958,145.373917002849,,109.80158632124116,10977.590000000002,
2012-04,0.8,0.003598011565274808,145.520278318545,141.92738498873,,106.90182383076207,10970.778,
2012-05,0.8,0.003626795657797007,157.40418371936,140.274891935469,,102.62518330711818,10959.51,
2012-06,0.7,0.0036521832274015857,149.033101741505,140.781024799533,,100.26682728549852,11008.112,
2012-07,0.8,0.003681400693220798,146.862799619037,144.767881213924,,100.09535171119383,11016.712,1.0255
2012-08,0.9,0.0037145332994597846,145.69325698881,145.047360263963,,100.46264517601809,11029.44,1.0474457000000001
2012-09,0.9,0.003747964099154922,142.471536517314,146.231701990775,,101.52839203898388,11032.604,1.0615862169500003
2012-10,0.8,0.0037779478119481613,147.231302955301,147.089193473643,,101.80860950436643,11055.458,1.0759176308788254
2012-11,0.9,0.003811949342255694,146.373431844686,146.9514449552,,100.65027122348569,11085.215,1.1008789199152142
2012-12,1.0,0.003850068835678251,143.585058099581,149.272822364713,,101.37999425046318,11113.075,1.1161811369020358
2013-01,1.1,0.003892419592870711,136.517071825044,145.880060245777,,102.51903725984633,11181.074999999997,1.1231014599508284
2013-02,0.5,0.003911881690835064,132.795321964955,148.735470528472,,103.48037641404355,11208.840999999999,1.130963170170484
2013-03,0.7,0.003939264862670909,149.403945667365,148.758901246511,,102.67538236426583,11229.136999999999,1.1601420199608827
2013-04,0.7,0.003966839716709605,155.941595841577,148.521297276468,,102.19310801075126,11271.366000000002,1.1850850733900418
2013-05,0.7,0.003994607594726572,167.97347912253,148.39638996491,,101.31354578316255,11349.579,1.2288147125981341
2013-06,0.8,0.004026564455484384,156.271864430241,149.135346482153,,99.06137456208522,11358.662999999999,1.2543740586201753
2013-07,0.9,0.004062803535583743,150.731001298259,148.12423501583,,97.28322889151572,11402.674,1.2833500993743012
2013-08,0.8,0.0040953059638684135,148.421449530501,150.159442226009,,96.8606686770547,11473.129,1.3077337512624128
2013-09,0.8,0.00412806841157936,147.004844188133,150.204971214327,,98.92359790749803,11519.838,1.3384654944170795
2013-10,0.9,0.004165221027283574,148.693959395976,148.867107539822,,100.52661867948017,11567.853000000001,1.356133238943385
2013-11,0.9,0.004202708016529126,145.69589762827,148.050577271285,,98.56686491900915,11591.606000000002,1.388544823354132
2013-12,1.4,0.004261545928760533,142.576879127126,147.193511584572,,101.029397091057,11607.867,1.405068506752046
2014-01,3.6,0.004414961582195912,137.969697395376,145.479849573181,,108.18112142933694,11607.229000000003,1.4293761919188566
2014-02,3.4,0.004565070275990573,132.486306872431,146.619225459539,,114.79852774296717,11613.148000000001,1.4596789671875365
2014-03,2.6,0.004683762103166329,144.53782808347,145.490588376714,,112.15815746112361,11546.392999999998,1.5021556251326937
2014-04,1.8,0.004768069821023323,152.341435461471,144.97985757086,,111.61090168901075,11618.509,1.5765123285767622
2014-05,1.4,0.0048348227985176495,164.203243902561,145.332653889794,,109.7969388631929,11645.377,1.6260148156940726
2014-06,1.3,0.004897675494898378,153.803524029901,144.608014023757,,108.45302496158084,11669.52,1.6747952601648948
2014-07,1.4,0.004966242951826955,145.422813734086,144.013698509501,,107.08538215082295,11684.263,1.7322407375885507
2014-08,1.3,0.005030804110200706,140.105303966059,143.631896590204,,105.69477818846093,11688.231999999998,1.7717358264055696
2014-09,1.4,0.005101235367743515,141.718733199557,143.525945332377,,102.48409365650217,11722.667999999998,1.8013238147065425
2014-10,1.2,0.005162450192156437,143.349397417613,143.849815001782,,98.9684525661701,11739.73,1.8294244662159647
2014-11,1.1,0.005219237144270157,140.877596898263,144.811134950935,,95.99836242908584,11753.553,1.8594270274619065
2014-12,1.0,0.005271429515712859,140.435937749128,144.909139992942,,93.04111730127227,11730.569,1.8782072404392718
2015-01,1.1,0.005329415240385701,133.99818907035,144.244787514862,,91.27074383173468,11748.991999999998,1.9150201023518816
2015-02,0.9,0.005377379977549171,132.627886955774,148.087257284507,,88.68122894005758,11774.635999999999,1.932638287293519
2015-03,1.3,0.00544728591725731,149.409012983328,147.605591420534,,84.55035611186415,11796.722000000002,1.9937096571719943
2015-04,1.1,0.005507206062347139,157.484599537314,149.566133780415,,84.90425845964263,11849.296000000002,2.0214222214066853
2015-05,1.0,0.005562278122970611,168.886100589834,149.832901756199,,84.84281977887586,11875.379,2.080043465827479
2015-06,1.0,0.0056179009042003165,162.937390009122,150.659508057403,,84.01860375605544,11922.446,2.161581169687916
2015-07,1.3,0.00569093361595492,151.844796343063,150.539130557285,,82.3392624624866,11972.39,2.2376688268609306
2015-08,1.2,0.005759224819346379,146.465067204862,150.345224486571,,79.25537915478466,11996.702,2.296743283890059
2015-09,1.2,0.005828335517178536,145.882323718601,149.005372863167,,76.19734652426345,11996.374,2.3385440116568583
2015-10,1.1,0.0058924472078675,147.045876153416,149.300472519267,,76.09302118445731,12011.547999999999,2.367074248599072
2015-11,2.0,0.006010296152024851,146.175581385648,148.58070770809,,75.43439533902286,12007.958999999999,2.418913174643392
2015-12,3.9,0.006244697701953819,141.942118734626,146.931855314642,,85.10477049531175,11962.986,2.4576157854376866
2016-01,4.1,0.006500730307733926,134.746450413497,147.902891729628,,96.0022244484465,11941.189000000002,2.492268168012358
2016-02,2.7,0.006676250026042742,134.232361038625,146.878692508972,,102.49374672974656,11945.251999999999,2.5251661078301213
2016-03,3.0,0.006876537526824024,150.087894236695,145.965671071194,,102.97384452346502,11956.011,2.6047088402267704
2016-04,3.4,0.007110339802736041,153.250674366629,144.715137957191,,97.29084128597839,11956.992,2.712022844444113
2016-05,4.2,0.007408974074450955,163.513608086905,144.57674809589,,91.33159250700477,11965.014000000001,2.8020620028796572
2016-06,3.1,0.007638652270758934,153.662095240998,144.379053934602,,89.17341565386299,11985.273,2.855861593334947
2016-07,2.0,0.007791425316174113,143.731100981801,144.58278827114,,92.67069708045267,11989.884,2.983518606557019
2016-08,0.2,0.007807008166806461,143.674102648605,145.650897754866,,92.64089094894705,11997.842999999999,3.0655653682373374
2016-09,1.1,0.00789288525664133,142.00773744282,145.018798486401,,93.13464255554752,12012.026,3.105724274561247
2016-10,2.4,0.008082314502800723,141.136863298081,145.153543697921,,91.90353214115564,12030.009,3.1793299398683486
2016-11,1.6,0.008211631534845535,144.93832064073,145.788249142096,,88.92508556250768,12046.741,3.2241584920204924
2016-12,1.2,0.008310171113263681,142.590145160319,146.95888147081,,89.83126350149445,12050.667000000003,3.268007047511971
2017-01,1.3,0.008418203337736107,136.632659483162,147.086273269505,27477.307666370554,90.56543026920166,12072.722,3.3183343560436556
2017-02,2.5,0.00862865842117951,132.158516339823,146.813950087052,25223.428860347456,88.71165471542706,12082.853000000001,3.3621363695434323
2017-03,2.4,0.008835746223287819,152.620958559057,147.644809300227,26334.26363967878,86.53752808153097,12098.784,3.4593021106232373
2017-04,2.6,0.009065475625093303,151.946344804487,147.673290371056,27045.88446262117,83.65709388943391,12099.890000000003,3.5807236147061126
2017-05,1.3,0.009183326808219514,168.389209469368,148.674482047258,25631.863991881684,84.16110138488445,12140.062,3.6380151925414106
2017-06,1.2,0.009293526729918148,161.035685469452,150.271993030465,26365.38706384802,85.02888284039788,12169.353,3.7020442599301395
2017-07,1.7,0.009451516684326757,150.30605012392,150.46351778389,27819.352944627655,91.02525792226119,12201.566,3.8497558259013522
2017-08,1.4,0.009583837917907331,149.255342773841,150.390577542228,27394.073951805774,92.50985551762045,12222.204000000002,3.940225087810034
2017-09,1.9,0.00976593083834757,146.386559657754,151.21749422436,26404.252526903005,90.69768708871972,12265.503,3.9957822615481557
2017-10,1.5,0.009912419800922783,149.385949666014,151.712759278698,27766.66317796161,89.1521384261168,12295.817000000001,4.056518151923688
2017-11,1.4,0.010051193678135702,151.926042852027,152.632214812244,28425.301720641164,87.48727029102108,12317.693000000001,4.119799835093698
2017-12,3.1,0.010362780682157907,146.783384909224,152.245342942072,34084.519433704845,86.9438846176935,12336.739999999998,4.164705653296219
2018-01,1.8,0.01054931073443675,142.740912606172,150.97750196781,26736.746546069702,93.38977240675486,12347.890000000001,4.210933886047807
2018-02,2.4,0.010802494192063231,138.818040351657,152.191474671749,25650.68873210639,96.02552066411461,12330.800000000001,4.246305730690609
2018-03,2.3,0.011050951558480685,155.85731953577,151.528755810547,28846.727300021103,95.4623482301504,12341.685,4.327410170146799
2018-04,2.7,0.011349327250559663,151.524543983943,146.79265782594,26429.52752809941,92.05714691681429,12342.867,4.443817503723748
2018-05,2.1,0.011587663122821414,159.566692377917,144.563087407417,26430.503243249208,101.36252895620815,12334.835,4.51136352978035
2018-06,3.7,0.012016406658365805,151.125763233455,143.259082889478,27465.909808897977,109.3560194880983,12311.288000000002,4.549258983430504
2018-07,3.1,0.012388915264775143,145.963524430004,143.579209000728,27033.43803708506,109.43989285594019,12241.938,4.6689044946947265
2018-08,3.9,0.012872082960101373,146.76596003414,146.537230877005,26267.256514020613,113.29670034724434,12246.907000000001,4.800567601445118
2018-09,6.5,0.013708768352507962,137.746569718648,143.132241433321,24310.777978264978,136.6965551150548,12220.727,4.94026411864717
2018-10,5.4,0.01444904184354339,142.843275984568,143.595585095494,25010.476704449233,126.65920399143985,12173.794000000002,5.120583758977792
2018-11,3.2,0.01491141118253678,140.592407325336,141.666150377382,24891.71263312131,118.71311385702204,12145.845000000001,5.270104804739942
2018-12,2.6,0.015299107873282737,136.251615969056,141.973648759504,31136.131957050453,119.13022559883649,12128.628,5.400803403897492
2019-01,2.9,0.015742782001607936,134.536239856696,141.397729240628,23888.726073338843,116.39754260971664,12140.861,5.567148148737535
2019-02,3.8,0.016341007717669036,132.267888612737,143.658901683707,22542.04994183623,116.39163919698258,12154.515000000001,5.715234289493953
2019-03,4.7,0.01710903508039948,144.963254955749,142.259940041268,24647.680742226563,119.63390135741726,12130.713000000002,5.940986043928965
2019-04,3.4,0.017690742273133064,149.916221403523,142.605787253334,23073.755385152883,120.03633284525918,12140.006000000001,6.073470032708581
2019-05,3.1,0.01823915528360019,164.13569907592,144.838249971983,22852.143404939907,119.3254441352763,12141.302,6.244741887630963
2019-06,2.7,0.01873161247625739,150.858971741131,144.033781295784,23803.413179689967,114.6493040431563,12133.329999999998,6.369636725383582
2019-07,2.2,0.019143707950735056,146.77702964007,145.83568077856,23580.072634934764,109.72629762001024,12136.944000000001,6.670283578821687
2019-08,4.0,0.019909456268764458,141.27693468084,144.790593285846,24329.91041230039,127.63072802436525,12153.720000000001,6.833038498144936
2019-09,5.9,0.02108411418862156,134.877066479936,140.55731399665,22144.650616311803,130.5960387182682,12147.544,7.015480626045406
2019-10,3.3,0.021779889956846068,141.639336617014,143.797274073401,24652.71442386198,129.67606477274478,12134.043,7.242782198329277
2019-11,4.3,0.02271642522499045,137.771829669331,140.883689537146,24270.7041203352,126.85721613471752,12119.84,7.414436136429681
2019-12,3.7,0.023556932958315093,135.765154527635,140.126686656662,29147.85103469526,123.51025125245619,12109.723,7.608694363204139
2020-01,2.3,0.02409874241635634,133.891086089572,140.930177145382,23483.345683378706,120.74144686809575,12096.090999999999,8.064455155560067
2020-02,2.0,0.024580717264683468,128.973638746598,139.549761275606,23702.013147622165,118.82458634184037,12092.519,8.37493667904913
2020-03,3.3,0.02539188093441802,128.211060740257,125.960247713308,26996.659534813563,114.3909423680423,12023.728,8.629534754092223
2020-04,1.5,0.02577275914843429,113.295034445801,105.992279092236,23142.654714237968,111.48331206182314,11862.581,8.64420496317418
2020-05,1.5,0.026159350535660802,131.029569197349,117.209621767521,24012.676328922764,111.66535022475061,11782.291,8.638154019699959
2020-06,2.2,0.02673485624744534,132.521965266488,124.344972935887,23449.543028817643,116.54818264146999,11790.2,8.689982943818158
2020-07,1.9,0.027242818516146797,127.463689469794,126.158194908386,23791.36751520022,117.8980986356416,11817.073,8.845533638512503
2020-08,2.7,0.027978374616082758,125.183893759846,128.844157875002,22953.005491091488,118.88800263543965,11849.028,9.022444311282753
2020-09,2.8,0.028761769105333075,127.175076093353,130.796547932016,21628.031776779153,119.58809089053032,11872.524999999998,9.248005419064821
2020-10,3.8,0.029854716331335733,131.345501894528,133.39866145683,24095.3382187538,118.10908536259886,11886.800000000001,9.627173641246477
2020-11,3.2,0.030810067253938474,132.068655252997,134.871321016984,24010.693725993668,119.55610485137193,11893.389,9.943907654043485
2020-12,4.0,0.032042469944096014,133.854365594606,136.95759393152,29931.10446415699,123.17567601244556,11878.736,10.11892042875465
2021-01,4.0,0.03332416874185986,131.521537397319,139.849767776997,24420.020915074365,122.78666270910176,11910.296,10.449809126774927
2021-02,3.6,0.034523838816566815,126.239266968364,138.242679569702,22322.62103430943,122.33700552394454,11948.179,10.90228586196428
2021-03,4.8,0.03618098307976203,145.956900103647,140.891393298284,24627.553412049245,119.0222848666552,12000.33,11.449580612234888
2021-04,4.1,0.03766440338603227,147.280844018759,139.3115864823,23407.475069338758,116.76346229484012,12061.515,11.817112149887627
2021-05,3.3,0.03890732869777133,151.169322338748,138.859164396742,23368.393763666063,117.24355940054636,12087.630999999998,12.152718134944436
2021-06,3.2,0.040152363216100016,148.979617108412,141.524107268231,23677.99416274856,116.95636213369802,12111.65,12.42980010842117
2021-07,3.0,0.04135693411258302,142.425913060358,141.379165811089,24779.46708113056,113.74255583468961,12141.780000000002,13.040103293744648
2021-08,2.5,0.042390857465397586,140.974940727777,143.315902384153,23990.069055768367,111.90832904100186,12204.358,13.45477857848573
2021-09,3.5,0.043874537476686494,141.296089090284,144.177346450918,22962.046342330883,110.09025234764391,12269.406,13.99296972162516
2021-10,3.5,0.04541014628837052,139.514758699679,143.355861783136,25386.745245625458,105.6623398716956,12312.309000000001,14.556886401406654
2021-11,2.5,0.04654539994557979,143.751877618888,145.713566991104,25026.615284791493,103.81965767478395,12356.554000000002,15.130427725622077
2021-12,3.8,0.04831412514351182,147.229878318134,149.720403789366,31596.63098218947,101.82141879023305,12415.14,15.519279718170566
2022-01,3.9,0.05019837602410878,139.637961612281,148.524545672033,25464.131520078306,101.56146602066994,12455.395,16.10280463557378
2022-02,4.7,0.05255769969724189,137.849513525076,150.709226388273,23803.20202289494,102.63989859178467,12498.135,16.60682242066724
2022-03,6.7,0.0560790655769571,153.930850794253,150.346723785422,24612.901369363753,101.52932153035933,12548.496999999996,17.83406659755455
2022-04,6.0,0.059443809511574526,157.661692173447,152.09770494153,24147.436097004895,100.21262177796153,12608.292,18.718636300793257
2022-05,5.1,0.06247544379666482,164.689363114084,152.126681744061,23234.77377354882,96.65944349778653,12669.764,19.8829354787026
2022-06,5.3,0.06578664231788806,161.454834281213,154.302974508127,24144.358858783595,95.78978657410592,12736.734,20.845269555871806
2022-07,7.4,0.07065485384941177,152.445387435861,152.558197358768,26090.25557801412,91.8625989896518,12813.438000000002,22.0000974892671
2022-08,7.0,0.07560069361887059,151.465738916062,151.723014990957,23930.705836021916,91.70033282804522,12843.047,23.434503845567313
2022-09,6.2,0.08028793662324057,149.174349705282,150.787751125179,23136.67558390528,89.2653208401899,12906.507,25.011645954373993
2022-10,6.3,0.08534607663050472,146.554396161703,149.085759213899,24989.575744483296,88.36194598935148,12954.204,26.29724455642882
2022-11,4.9,0.08952803438539945,148.030494929525,148.327566132046,25637.81721913514,90.10823754948638,13012.747,28.06178966616519
2022-12,5.1,0.09409396413905481,146.18080633796,148.485243711314,30974.17760841442,93.21739898921825,13038.500000000002,29.540645981572094
2023-01,6.0,0.09973960198739809,143.034623494875,149.957729660816,25668.396255302632,95.14506379723183,13086.305999999999,30.932010407304137
2023-02,6.6,0.10632241571856638,137.266462764765,150.15642424124,24038.381363618086,94.77435753987034,13117.612,32.78793103174239
2023-03,7.7,0.11450924172889598,155.065013668986,150.755963017803,25555.024368715433,93.59683832078586,13142.732999999998,36.102790859051545
2023-04,8.4,0.12412801803412325,150.05952685125,147.357487354051,24972.50982923188,93.81909115336762,13179.375999999998,38.149819100759764
2023-05,7.8,0.13381000344078486,153.810854192605,145.552726052802,23290.797467939236,93.05538696150745,13247.996000000001,41.00724055140667
2023-06,6.0,0.14183860364723197,152.595476048091,146.063267496761,23922.636796340397,93.97033217972631,13289.575,43.49227932882191
2023-07,6.3,0.15077443567700757,150.203125481903,148.724663808793,25448.167475734692,95.85510842737271,13334.702000000001,48.28512851085809
2023-08,12.4,0.16947046570095653,151.922179358049,150.056945840458,25164.69551067577,104.832892328892,13365.033000000001,51.95962679053439
2023-09,12.7,0.190993214844978,148.412379639874,149.698247005709,24005.186866899236,100.67359694057902,13371.920000000002,58.028511199668806
2023-10,8.3,0.2068456516771112,147.513813054149,148.013211371601,26779.197295332848,89.63639402916952,13374.199,62.86228618260121
2023-11,12.8,0.23332189509178142,146.366352327211,146.388298540618,25210.959841150554,83.20334916090965,13365.159,68.55760931074488
2023-12,25.5,0.29281897834018566,139.342627237772,142.867470302908,28928.3521157072,124.87938715301705,13363.701000000001,74.6249577347458
2024-01,20.6,0.3531396878782639,137.373351200584,143.553673105494,22108.256834826778,132.78579484356328,13326.946999999998,86.89330078633802
2024-02,13.2,0.39975412667819477,133.464505810053,143.808819647812,21301.04127202511,115.75297225787128,13332.205000000002,98.46748845107824
2024-03,11.0,0.44372708061279625,142.395723856372,142.114530417108,23171.993346844996,105.88039900845791,13291.138,108.58009951500398
2024-04,8.8,0.4827750637067223,147.256900087678,141.056115880009,20588.467376342225,97.03123217510874,13269.466,119.60097961577688
2024-05,4.2,0.5030516163824047,156.769098896166,142.836197278762,21018.59796067804,93.43445567439771,13264.221,129.5517811198095
2024-06,4.6,0.5261919907359953,147.357121519743,143.718751840871,22165.78026685792,89.90391354593461,13251.638,137.57103637112573
2024-07,4.0,0.5472396703654351,149.651700478372,147.282943313062,22315.666868658016,87.88267009907541,13249.091,147.84759278804881
2024-08,4.2,0.5702237365207834,147.281247623442,147.774598454863,22625.955413183267,87.15821587765426,13272.269999999999,156.20098178057358
2024-09,3.5,0.5901815672990107,144.796701895489,147.826652668076,20934.54082186317,86.04507311663875,13280.564,163.55804802243858
2024-10,2.7,0.606116469616084,148.103951402129,149.04702210828,22010.07437087158,84.04742802754734,13273.835,171.06536242666851
2024-11,2.4,0.6206632648868701,148.178733517471,150.802058920112,23282.694251719255,81.75185637260766,13261.422,177.6342723438526
2024-12,2.7,0.6374211730388155,148.677601528375,151.485274747597,27986.8636297545,79.79513394167029,12867.107000000002,183.140934786512
2025-01,2.2,0.6514444388456695,146.496636450522,151.930933398711,23032.474621009715,79.70424689514543,12871.33,188.50696417575682
